column,description
country,"The name of the country to which the row relates. It can be:

1) Countries, whose names have been standardized to a common set of country names used across Our World in Data 
2) Regional aggregates provided as standard within the PIP data according to World Bank region definitions."
year,"The following description is adapted from PIP Methodology Handbook: 

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year.

When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down)."
reporting_level,"The reporting level of the survey. It can be national, urban or rural."
welfare_type,Indicates whether the survey data relates to household income or consumption expenditure.
ppp_version,"The version of the Purchasing Power Parity (PPP), which are conversions into international-$ to adjust for inflation and for differences in the
cost of living between countries. It can be 2011 or 2017."
survey_year,"The following description is adapted from PIP Methodology Handbook:

Within the PIP data, observations are alocated two different year variables: Year and Survey Year. 

If all fieldwork for a survey took place during one calendar year, and relate to the consumption or income of that year, Year and Survey year are both equal to this calendar year. When household surveys span two calendar years, the Survey year noted in the PIP data is not an integer. The Gambia, for example, has a Survey year of 2015.31. This means that 69% of the fieldwork for this particular survey took place in 2015 while 31% of the fieldwork months took place in 2016. In these cases, Year is the floor of Survey year (i.e. Survey year always rounded down). 

This Survey year variable is used by the World Bank for the purposes of 'linining up' the different country-level estimates in order to calculate regional aggregates."
survey_comparability,"A variable produced by the World Bank that codes more comparable spells of survey data over time within individual countries. A change in the spell group number indicates a break in survey comparability.

The following description is adapted from PIP Methodology Handbook:

As countries frequently improve the questionnaire design of household surveys and the methodology for the construction of welfare aggregates, poverty estimates over time for a country are not always comparable to each other.

In order to guide users about when poverty can be compared over time within a country, [the PIP database includes a 'Comparability over time' variable]. Within a country, comparability of poverty estimates over time is assumed unless there is a known change to the survey instrument, survey methodology, measurement, or data structure. The assessment of comparability is country-dependent and relies on the accumulation of knowledge from past and current World Bank staff, as well as close dialogue with national data producers with knowledge of survey design and methodology. The complete documentation of this dataset is available in Atamanov et al. (2019).

Atamanov, Aziz, R. Andres Castaneda Aguilar, Carolina Diaz-Bonilla, Dean Jolliffe, Christoph Lakner, Daniel Gerszon Mahler, Jose Montes, et al. 2019. “September 2019 PovcalNet Update: What’s New.” Global Poverty Monitoring Technical Note 10. https://openknowledge.worldbank.org/handle/10986/32478."
headcount_ratio_international_povline,% of population living in households with an income or expenditure per person below the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).
headcount_ratio_lower_mid_income_povline,% of population living in households with an income or expenditure per person below the lower-middle income poverty line: $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices).
headcount_ratio_upper_mid_income_povline,% of population living in households with an income or expenditure per person below the upper-middle income poverty line: $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).
headcount_ratio_100,% of population living in households with an income or expenditure per person below $1 a day.
headcount_ratio_1000,% of population living in households with an income or expenditure per person below $10 a day.
headcount_ratio_2000,% of population living in households with an income or expenditure per person below $20 a day.
headcount_ratio_3000,% of population living in households with an income or expenditure per person below $30 a day.
headcount_ratio_4000,% of population living in households with an income or expenditure per person below $40 a day.
headcount_ratio_40_median,% of population living in households with an income or expenditure per person below 40% of the median.
headcount_ratio_50_median,% of population living in households with an income or expenditure per person below 50% of the median.
headcount_ratio_60_median,% of population living in households with an income or expenditure per person below 60% of the median.
headcount_international_povline,Number of people living in households with an income or expenditure per person below the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).
headcount_lower_mid_income_povline,Number of people living in households with an income or expenditure per person below the lower-middle income poverty line: $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices).
headcount_upper_mid_income_povline,Number of people living in households with an income or expenditure per person below the upper-middle income poverty line: $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).
headcount_100,Number of people living in households with an income or expenditure per person below $1 a day.
headcount_1000,Number of people living in households with an income or expenditure per person below $10 a day.
headcount_2000,Number of people living in households with an income or expenditure per person below $20 a day.
headcount_3000,Number of people living in households with an income or expenditure per person below $30 a day.
headcount_4000,Number of people living in households with an income or expenditure per person below $40 a day.
headcount_40_median,Number of people living in households with an income or expenditure per person below 40% of the median.
headcount_50_median,Number of people living in households with an income or expenditure per person below 50% of the median.
headcount_60_median,Number of people living in households with an income or expenditure per person below 60% of the median.
avg_shortfall_international_povline,The average shortfall from the International Poverty Line per day (averaged across the population in poverty). The International Poverty Line is $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).
avg_shortfall_lower_mid_income_povline,The average shortfall from the lower-middle income poverty line (averaged across the population in poverty). The lower-middle income poverty line is $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices).
avg_shortfall_upper_mid_income_povline,The average shortfall from the upper-middle income poverty line (averaged across the population in poverty). The upper-middle poverty line is $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).
avg_shortfall_100,The average shortfall from the poverty line of $1 per day (averaged across the population in poverty).
avg_shortfall_1000,The average shortfall from the poverty line of $10 per day (averaged across the population in poverty).
avg_shortfall_2000,The average shortfall from the poverty line of $20 per day (averaged across the population in poverty).
avg_shortfall_3000,The average shortfall from the poverty line of $30 per day (averaged across the population in poverty).
avg_shortfall_4000,The average shortfall from the poverty line of $40 per day (averaged across the population in poverty).
avg_shortfall_40_median,The average shortfall from a poverty line of the 40% of the median income or expenditure (averaged across the population in poverty).
avg_shortfall_50_median,The average shortfall from a poverty line of the 50% of the median income or expenditure (averaged across the population in poverty).
avg_shortfall_60_median,The average shortfall from a poverty line of the 60% of the median income or expenditure (averaged across the population in poverty).
total_shortfall_international_povline,"The total shortfall from the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_lower_mid_income_povline,"The total shortfall from the lower-middle income poverty line: $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices).

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_upper_mid_income_povline,"The total shortfall from the upper-middle income poverty line: $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_100,"The total shortfall from a poverty line of $1 a day.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_1000,"The total shortfall from a poverty line of $10 a day.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_2000,"The total shortfall from a poverty line of $20 a day.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_3000,"The total shortfall from a poverty line of $30 a day.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_4000,"The total shortfall from a poverty line of $40 a day.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_40_median,"The total shortfall from a poverty line of the 40% of the median income or expenditure.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_50_median,"The total shortfall from a poverty line of the 50% of the median income or expenditure.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
total_shortfall_60_median,"The total shortfall from a poverty line of the 60% of the median income or expenditure.

This is the amount of money that would be theoretically needed to lift the incomes or expenditure of all people in poverty up to the poverty line. However this is not a measure of the actual cost of eliminating poverty, since it does not take into account the costs involved in making the necessary transfers nor any changes in behaviour they would bring about."
income_gap_ratio_international_povline,"The average shortfall from the International Poverty Line (averaged across the population in poverty) expressed as a share of the poverty line. The International Poverty Line is $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_lower_mid_income_povline,"The average shortfall from the lower-middle income poverty line (averaged across the population in poverty) expressed as a share of the poverty line. The lower-middle income poverty line is $3.20 a day (in 2011 prices) or $3.65 a day (in 2017 prices) 

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_upper_mid_income_povline,"The average shortfall from the upper-middle income poverty line (averaged across the population in poverty) expressed as a share of the poverty line. The upper-middle income poverty line is $5.50 a day (in 2011 prices) or $6.85 a day (in 2017 prices).

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_100,"The average shortfall from a poverty line of $1 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_1000,"The average shortfall from a poverty line of $10 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_2000,"The average shortfall from a poverty line of $20 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_3000,"The average shortfall from a poverty line of $30 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_4000,"The average shortfall from a poverty line of $40 a day (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_40_median,"The average shortfall from a poverty line of the 40% of the median income or expenditure (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_50_median,"The average shortfall from a poverty line of the 50% of the median income or expenditure (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
income_gap_ratio_60_median,"The average shortfall from a poverty line of the 60% of the median income or expenditure (averaged across the population in poverty) expressed as a share of the poverty line.

This metric is sometimes called the 'income gap ratio'. It captures the depth of poverty in which those below the poverty line are living."
poverty_gap_index_international_povline,"The poverty gap index calculated at the International Poverty Line: $1.90 a day (in 2011 prices) or $2.15 a day (in 2017 prices).

The poverty gap index is a measure that reflects both the depth and prevalence of poverty. It is defined as the mean shortfall of the total population from the poverty line counting the non-poor as having zero shortfall and expressed as a percentage of the poverty line. 

It is worth unpacking that definition a little. For those below the poverty line, the shortfall corresponds to the amount of money required in order to reach the poverty line. For those at or above the poverty line, the shortfall is counted as zero. The average shortfall is then calculated across the total population – both poor and non-poor – and then expressed as a share of the poverty line.

Unlike the more commonly-used metric of the headcount ratio, the poverty gap index is thus sensitive not only to whether a person’s income falls below the poverty line or not, but also by how much – i.e. to the depth of poverty they experience."
